time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
81080,98.0,202.0,0.62,0.79,50.0,0.79,29.0,86.0,58.0,0
81090,98.0,202.0,0.62,0.79,50.0,0.79,30.0,86.0,58.0,0
81100,98.0,202.0,0.62,0.79,50.0,0.79,32.0,86.0,58.0,0
81110,98.0,202.0,0.62,0.79,50.0,0.79,33.0,87.0,58.0,0
81120,98.0,202.0,0.62,0.79,50.0,0.79,31.0,86.0,56.0,0
81130,98.0,202.0,0.62,0.79,50.0,0.79,31.0,85.0,56.0,0
81140,98.0,202.0,0.62,0.79,50.0,0.79,26.0,85.0,56.0,0
81150,98.0,202.0,0.62,0.79,50.0,0.79,26.0,85.0,56.0,0
81160,98.0,202.0,0.62,0.79,50.0,0.79,24.0,85.0,56.0,0
81170,98.0,202.0,0.62,0.79,50.0,0.79,24.0,84.0,56.0,0
81180,98.0,202.0,0.62,0.79,50.0,0.79,24.0,84.0,59.0,0
81190,98.0,202.0,0.62,0.79,50.0,0.79,29.0,85.0,59.0,0
81920,99.0,205.0,0.55,0.74,50.0,0.79,31.0,85.0,52.0,0
81930,99.0,205.0,0.55,0.74,50.0,0.79,33.0,84.0,52.0,0
81940,99.0,205.0,0.55,0.74,50.0,0.79,31.0,84.0,52.0,0
81950,99.0,205.0,0.55,0.74,50.0,0.79,30.0,84.0,52.0,0
81960,99.0,205.0,0.55,0.74,50.0,0.79,28.0,84.0,53.0,0
81970,99.0,205.0,0.55,0.74,50.0,0.79,28.0,84.0,53.0,0
81980,99.0,205.0,0.55,0.74,50.0,0.79,26.0,84.0,53.0,0
81990,99.0,205.0,0.55,0.74,50.0,0.79,23.0,85.0,53.0,0
82000,99.0,205.0,0.55,0.74,50.0,0.79,27.0,84.0,53.0,0
82010,99.0,205.0,0.55,0.74,50.0,0.79,24.0,84.0,53.0,0
82020,99.0,205.0,0.55,0.74,50.0,0.79,24.0,84.0,60.0,0
82030,99.0,205.0,0.55,0.74,50.0,0.79,25.0,84.0,60.0,0
82040,99.0,205.0,0.55,0.74,50.0,0.79,25.0,84.0,60.0,0
